Company Name,Ticker,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil)
"Akero Therapeutics","AKRO","YES","-.67","-.72","3","-2.92","","","","","-112.033","0","-112.033","-111.798","355.173","Medical - Biomedical and Genetics","Medical","1741.21"
"Akoustis Technologies","AKTS","YES","-.17","-.15","4","-.86","28.263","9.295","131.94","15.35","-61.02701","19.48699","-59.02701","-41.36801","91.731","Semiconductors - Radio Frequency","Computer and Technology","220.39"
"Akoya Biosciences","AKYA","YES","-.46","-.44","4","-1.79","95.87899","22.357","36.31","74.86","-65.964","31.46899","-70.641","-63.49201","112.19699","Medical - Biomedical and Genetics","Medical","273.38"
"Air Lease","AL","YES","1.33","1.27","2","5.03","2638.48706","647.99499","10.96","2317.3","407.41299","0","-97.02401","970.03399","780.01702","Transportation - Equipment and Leasing","Transportation","4317.39"
"Albemarle","ALB","YES","6.3","6.29","7","29.53","11911.26562","2815.93505","119.96","7320.1","2556.41699","4245.51708","2689.81591","2887.09106","5186.91699","Chemical - Diversified ","Basic Materials","22835.85"
"Alcon","ALC","YES",".63",".66","5","2.58","9219.05468","2325.73291","5.14","8717","597","3969","335","2219","5193","Medical - Instruments","Medical","34516.82"
"Aldeyra Therapeutics","ALDX","YES","-.35","-.36","4","-1.35","4.578","","","","-60.33101","0","-62.02501","-61.814","181.02299","Medical - Drugs","Medical","579.32"
"Allete","ALE","YES",".72",".63","1","3.7","1595.06005","377.01998","10.68","1570.7","175.3","728.29998","189.3","432","718","Utility - Electric Power","Utilities","3756.31"
"Alector","ALEC","YES","-.77","-.78","3","-3.14","21.819","4.98","-35.48","133.62","-130.056","0","-133.31","-126.001","726.43499","Medical - Biomedical and Genetics","Medical","518.09"
"Alexander & Baldwin Holdings","ALEX","YES",".26",".27","1","1.05","213","52.9","-39.23","230.5","40.79999","132.89999","-50.6","74","47.29999","REIT and Equity Trust - Other","Finance","1367.67"
"Alamo Group","ALG","YES","","","","9.79","","","13.45","1513.62","148.671","1137.09802","101.928","150.25799","727.21002","Manufacturing - Farm Equipment","Industrial Products","2007.08"
"Allegro MicroSystems","ALGM","YES",".3",".29","1","1.3","983.70001","243.3","57.99","768.67","141.80299","361.21398","119.40699","198.61599","511.69198","Electronics - Semiconductors","Computer and Technology","8629.36"
"Align Technology","ALGN","YES","2.03","2.03","6","7.91","3764.91699","943.14801","-5.51","3734.64","599.057","1100.85998","361.57299","734.02899","2424.39111","Medical - Dental Supplies","Medical","24797.45"
"Aligos Therapeutics","ALGS","YES","-.4","-.38","3","-1.58","17.6","4.4","219.04","13.91","-95.94001","0","-96.046","-92.53","133.54499","Medical - Biomedical and Genetics","Medical","38.65"
"Allegiant","ALGT","YES","2.07",".93","4","6.3","2597.26293","675.12597","34.77","2301.83","108.024","1763.81896","2.493","253.97399","1274.26904","Transportation - Airline","Transportation","1632.76"
"Alignment Healthcare","ALHC","YES","-.1","-.14","5","-.71","1723.99694","434.47","22.81","1434.16","-131.01101","1249.87902","-149.547","-130.211","544.54602","Medical Services","Medical","1387.76"
"Alight","ALIT","YES",".14",".16","2",".65","3482.21704","800.21002","7.44","3132","81","2136","-62","699","2816","Internet - Software","Computer and Technology","4803.66"
"Alaska Air Group","ALK","YES","1.91","2.65","6","5.7","10530.48437","2751.91699","56.19","9646","187","4490","58","971","3040","Transportation - Airline","Transportation","5358.61"
"Alkermes","ALKS","YES","-.01",".01","7",".07","1187.458","294.55499","-5.28","1111.8","-154.26401","218.108","-158.267","135.72099","1130.30603","Medical - Biomedical and Genetics","Medical","4803.45"
"Alkami Technology","ALKT","YES","-.07","-.01","1","-.15","257.1","62.29999","34.25","204.27","-55.19301","95.94599","-58.6","-13.058","242.16499","Internet - Software","Computer and Technology","1143.63"
"Allstate","ALL","YES","0","1.32","7","6.54","52636.42968","13115.33496","1.63","51412","-1523","38325","-1311","585","24103","Insurance - Property and Casualty","Finance","30340.85"
"Allegion","ALLE","YES","1.68","1.78","3","6.36","3587.78808","914.77301","14.11","3271.9","590.40002","1949.5","458","599.90002","1214.59997","Security and Safety Services","Industrial Products","8755.11"
"Allego","ALLG","YES","","","","","251.71","","","102.1","-359.54599","72.313","-378.20402","-364.35901","140.80999","Electronics - Miscellaneous Products","Computer and Technology","151.8"
"Allakos","ALLK","YES","-.56","-.57","4","-2.27","","","","","-319.952","0","-319.952","-312.293","308.84298","Medical - Biomedical and Genetics","Medical","370.15"
"Allogene Therapeutics","ALLO","YES","-.63","-.62","10","-2.44",".28",".09499","-99.37",".24","-332.63199","0","-332.63199","-315.44602","528.82397","Medical - Biomedical and Genetics","Medical","706.59"
"Allot","ALLT","YES","-.13","-.16","1","-.49","114.9","27.89999","-15.7","122.74","-32.26901","39.831","-32.03","-15.837","151.817","Technology Services","Business Services","99.93"
"Ally Financial","ALLY","YES",".98",".89","7","3.59","8326.73925","2071.65307","2.71","8428","3212","1987","1714","3366","140960","Financial - Consumer Loans","Finance","7839.13"
"Alnylam Pharmaceuticals","ALNY","YES","-1.8","-1.68","7","-6.93","1372.276","326.46301","22.88","1037.42","-971.02503","168.817","-1131.15601","-1045.60596","2692.24707","Medical - Biomedical and Genetics","Medical","26146.92"
"Alpine Immune Sciences","ALPN","YES","-.36","-.39","4","-1.51","33.54","8.6","28.24","30.06","-54.95601","0","-57.76201","-57.86501","240.99299","Medical - Drugs","Medical","361.52"
"Alpine 4 Holdings, Inc.","ALPP","YES","","","","","","","54.36","51.64","-18.13801","43.943","-19.483","-3.05341","42.844","Diversified Operations","Conglomerates","97.16"
"Alarm.com","ALRM","YES",".35",".43","5","1.53","862.92602","214.32499","12.5","842.56","59.73699","342.58099","56.338","152.79899","891.08801","Security and Safety Services","Industrial Products","2423.98"
"Alerus Financial","ALRS","YES",".43",".46","2","1.77","204.64999","51.45","-5.52","226.8","58.861","9.16899","40.005","53.89599","2493.44702","Financial - Miscellaneous Services","Finance","324"
"Allison Transmission Holdings","ALSN","YES","1.52","1.6","6","6.02","2892.44604","721.12597","15.28","2769","763","1472","531","690","866","Automotive - Original Equipment","Auto-Tires-Trucks","3975.18"
"Altimmune","ALT","YES","-.47","-.51","4","-1.94","","","-46.12","4.41","-84.90201","0","-84.713","-84.918","192.813","Medical - Drugs","Medical","197.61"
"Alta Equipment Group","ALTG","YES",".13",".19","3",".33","1792.80004","446.35","29.6","1571.8","42.4","1152.19995","9.3","123.09999","663.29998","Manufacturing - General Industrial ","Industrial Products","431.08"
"Alto Ingredients","ALTO","YES","-.1",".02","1","-.14","1198.47399","301.73699","10.57","1335.62","-37.84501","1363.17102","-41.59701","-16.199","199.121","Consumer Products - Discretionary","Consumer Discretionary","102.95"
"Altair Engineering","ALTR","YES",".14",".15","3",".99","617.02301","139.55299","7.52","572.22","-23.83601","122.88899","-43.42901","112.896","526.82598","Engineering - R and D Services","Construction","5628"
"Altitude Acquisition","ALTU","YES","","","","","","","","","9.38099","0","9.343","9.343",".00157","Unclassified","Unclassified","92.36"
"Autoliv","ALV","YES","1.47","1.96","3","6.36","9802.22753","2391.43994","7.44","8842","663","7446","423","747","3714","Automotive - Original Equipment","Auto-Tires-Trucks","7508.38"
"AlloVir","ALVR","YES","-.49","-.47","4","-1.9","","","","","-168.97501","0","-168.71001","-167.987","243.052","Medical - Drugs","Medical","355.34"
"ALX Oncology Holdings","ALXO","YES","-.87","-.84","4","-3.52","","","","1.18","-123.418","0","-123.48201","-100.153","270.96899","Medical - Biomedical and Genetics","Medical","181.84"
"Alzamend Neuro","ALZN","YES","","","","","","","","","-12.315","0","-12.36201",".00354","14.41399","Medical - Biomedical and Genetics","Medical","48.16"
"Antero Midstream","AM","YES",".2",".21","5",".81","992.36199","244.936","2.43","919.98","633.68402","180.25399","326.242","588.34497","88.99299","Oil and Gas - Integrated - United States","Oils-Energy","5011.08"
"Amalgamated Financial","AMAL","YES",".73",".77","2","2.98","289.125","71.54","35.17","282.39","115.757","11.05599","81.47699","94.65799","4199.64892","Financial - SBIC & Commercial Industry","Finance","531.12"
"Ambrx Biopharma","AMAM","YES","","","","","","","-.71","7.4","-75.09101","0","-77.99601","-76.70301","90.583","Medical - Biomedical and Genetics","Medical","295.82"
"Applied Materials","AMAT","YES","1.84","1.58","9","7.01","24557.28515","6396.32177","11.8","25785","7827","13792","6525","7200","15925","Semiconductor Equipment - Wafer Fabrication","Computer and Technology","96723.8"
"Ambarella","AMBA","YES","-.2","-.12","8","-.3","282.406","62.109","1.73","337.61","-70.93801","128.67199","-65.38601","62.332","304.63198","Electronics - Semiconductors","Computer and Technology","2811.48"
"Ambac","AMBC","YES","-.34","-.28","1","-1.25","115.19999","28.5","79.08","505","693","-396","521","592.59997","1287","Insurance - Property and Casualty","Finance","679.31"
"Ardagh Metal Packaging","AMBP","YES",".08",".09","2",".25","4965.09619","1374.76501","15.64","4689","256","4163","237","547","1908","Waste Removal Services","Business Services","2232.2"
"AMC Entertainment","AMC","YES","-.07","-.09","4","-.41","4442.25","1224.67504","54.73","3911.4","-630.59998","1280.30004","-973.59998","-630.40003","902.09997","Leisure and Recreation Services","Consumer Discretionary","2532.42"
"Amcor","AMCR","YES",".22",".18","3",".77","15064.60351","3959.38305","13.09","14544","1274","11724","805","1851","5853","Containers - Paper and Packaging","Industrial Products","16715.02"
"AMC Networks","AMCX","YES","2.44","2.22","1","6.91","2895.27905","731.45001",".62","3096.54","103.80999","1515.90197","7.59399","1560.48596","1949.86901","Broadcast Radio and Television","Consumer Discretionary","756.53"
"Advanced Micro Devices","AMD","YES",".62",".84","13","3.01","23518.67187","5506.66699","43.61","23601","1272","12998","1320","9955","15019","Electronics - Semiconductors","Computer and Technology","148821.83"
"AMETEK","AME","YES","1.47","1.51","4","5.98","6474.66699","1590.76794","10.89","6150.53","1511.87805","4005.26098","1159.54199","1634.09802","2528.0581","Electronics - Testing Equipment","Computer and Technology","31145.5"
"Amedisys","AMED","YES","1.14","1.11","9","4.26","2262.23388","571.49102",".41","2223.2","182.472","1260.42504","118.609","235.40199","388.96099","Medical - Outpatient and Home Healthcare","Medical","2502.82"
"Apollo Medical","AMEH","YES",".26",".29","1","1","1378.09997","334.5","47.84","1144.16","94.536","944.68499","49.04899","71.21099","435.138","Medical Services","Medical","2191.73"
"Affiliated Managers Group","AMG","YES","4.07","4.28","4","19.19","2260.88793","553.65698","-3.43","2329.6","1860.80004","0","1145.90002","869.5","745.20001","Financial - Investment Management","Finance","4937.89"
"Amgen","AMGN","YES","4.67","4.73","7","17.73","28051.26367","6888.40087","1.32","26323","8752","6406","6552","12987","22186","Medical - Biomedical and Genetics","Medical","135266.86"
"American Homes 4 Rent","AMH","YES",".4",".41","5","1.61","1585.84399","386.11199","14.32","1490.53","444.89599","664.789","273.138","711.34197","265.712","REIT and Equity Trust - Residential","Finance","11468.21"
"AssetMark Financial","AMK","YES",".56",".55","3","2.2","735.75299","183.05","16.6","618.31","143.27999","0","103.261","161.608","187.205","Financial - Investment Management","Finance","2241.38"
"Amkor Technology","AMKR","YES","","","","2.15","","","15.53","7091.58","915.49499","5761.59814","765.82299","1381.77197","3301.23901","Electronics - Semiconductors","Computer and Technology","5913.8"
"Amylyx Pharmaceuticals","AMLX","YES","-.16","-.01","2","-.38","297.328","67.34999","7700","22.23","-197.601","2.993","-198.375","-199.94401","382.13299","Medical - Drugs","Medical","1938.78"
"AMN Healthcare Services","AMN","YES","1.91","1.95","4","8.28","4105.83007","977.64801","31.6","5243.24","647.10101","3526.5581","444.04998","671.60198","1093.64501","Medical Services","Medical","3311.02"
"American National Bankshares","AMNB","YES","","","","","","","-1.73","114.81","45.575","3.55299","34.428","37.983","2241.29492","Banks - Southeast","Finance","315.65"
"Allied Motion Technologies","AMOT","YES",".64",".68","2","2.36","558.20501","139.8","24.65","502.99","31.37299","345.729","17.38899","55.659","236.007","Instruments - Control","Computer and Technology","558.5"
"Ameriprise Financial","AMP","YES","7.53","7.73","5","30.62","15279.38964","3784.46411","6.34","14286","4045","0","2559","2818","22896","Financial - Investment Management","Finance","31262.55"
"Ampio Pharmaceuticals","AMPE","YES","","","","","","","","","-16.337","0","-16.337","1.05499","13.329","Medical - Drugs","Medical","3.32"
"Amphastar Pharmaceuticals","AMPH","YES",".49",".51","2","2.03","546.00701","134.85","13.98","498.99","117.886","250.12699","91.386","128.421","378.319","Medical - Generic Drugs","Medical","1890.49"
"Amplitude","AMPL","YES","-.05","-.03","4","-.13","286.97799","69.302","42.33","238.07","-92.58101","70.442","-93.377","-18.401","284.43399","Technology Services","Business Services","1341.09"
"Altus Power","AMPS","YES",".02",".04","3",".03","174.60299","44.714","40.9","101.16","75.40499","17.53199","55.437","88.055","215.069","Alternative Energy - Other","Oils-Energy","809.25"
"Amprius Technologies, Inc.","AMPX","YES","-.09","-.12","2","-.43","4.9",".6","59.05","4.41","-17.33201","9.84799","-17.33201","-14.20801","75.17299","Technology Services","Business Services","687.2"
"Amplify Energy","AMPY","YES",".33",".35","1","1.22","318.76998","81.54","33.69","458.46","72.08699","160.785","57.875","82.47399","99.244","Oil and Gas - Exploration and Production - United States","Oils-Energy","265.94"
"Alpha Metallurgical Resources","AMR","YES","11.57","10.22","1","46.09","3247.69995","809.40002","81.6","4101.59","1576.552","2285.96899","1448.54504","1607.94299","1114.42102","Mining - Miscellaneous","Basic Materials","2308.42"
"Ameresco","AMRC","YES",".36",".6","7","1.76","1508.73901","336.12298","50.07","1824.42","105.719","1533.58898","94.926","158.13499","1001.35101","Alternative Energy - Other","Oils-Energy","2314.3"
"AMark Precious Metals","AMRK","YES","1.88","","","8.05","7818.63281","1987.16699","7.18","8159.25","188.40899","7897.48876","132.53599","224.951","1181.125","Precious Metals and Jewels","Consumer Discretionary","841.9"
"Amarin","AMRN","YES","-.02","-.03","3","-.12","334.479","81.25299","-36.69","369.19","-103.79001","126.70899","-105.80301","-44.29801","689.09802","Medical - Biomedical and Genetics","Medical","553.25"
"Amyris","AMRS","YES",".2","-.24","4","-.57","527.583","247.75399","-21.06","269.85","-513.89203","258.66799","-528.51001","-521.46998","306.36099","Chemical - Specialty","Basic Materials","476.69"
"Amneal Pharmaceuticals","AMRX","YES",".13",".12","4",".51","2320.35498","576.932","5.67","2212.3","-89.75","1427.59594","-129.986","456.47799","1411.81799","Medical - Drugs","Medical","425.07"
"American Superconductor","AMSC","YES","-.13","-.09","1","-.24","124.5","28","24.46","108.43","-21.042","94.943","-19.19301","-11.73701","94.33599","Electronics - Miscellaneous Components","Computer and Technology","118.12"
"AMERISAFE","AMSF","YES",".64",".65","3","2.61","296.51998","73.88999","-6.71","294.74","67.646","197.83799","55.602","67.31999","332.85998","Insurance - Accident and Health","Finance","977.33"
"American Software","AMSWA","YES",".09",".09","2",".42","124.38999","30.67","14.49","127.55","13.83699","51.75799","12.78199","20.13699","156.19099","Computer - Software","Computer and Technology","425.62"
"American Tower","AMT","YES","2.47","2.47","6","9.8","11064.36132","2772.39892","14.47","10711.1","2857.19995","3263.80004","1765.80004","5168.3999","3445.69995","REIT and Equity Trust - Other","Finance","96244.38"
